"","gene_id","sample_name","gene_depth","copy_number","sample_counts","sample_freq","gene_mean"
"1","gene_id_1","sample1",6,-0.229912705146936,32,0.97,-0.581331310299222
"2","gene_id_1","sample2",7,0.35951673516541,32,0.97,-0.581331310299222
"3","gene_id_1","sample3",7,-1.96419196133721,32,0.97,-0.581331310299222
"4","gene_id_1","sample4",10,0.536949940407148,32,0.97,-0.581331310299222
"5","gene_id_1","sample5",13,-0.840519764625211,32,0.97,-0.581331310299222
"6","gene_id_1","sample6",7,0.273192348949761,32,0.97,-0.581331310299222
"7","gene_id_1","sample7",5,-1.87531446657184,32,0.97,-0.581331310299222
"8","gene_id_1","sample8",5,0.696926618005589,32,0.97,-0.581331310299222
"9","gene_id_1","sample9",15,0.45255811213978,32,0.97,-0.581331310299222
"10","gene_id_1","sample10",6,0.0186876931117061,32,0.97,-0.581331310299222
"11","gene_id_1","sample11",6,-1.34785742411217,32,0.97,-0.581331310299222
"12","gene_id_1","sample12",9,0.843068455091345,32,0.97,-0.581331310299222
"13","gene_id_1","sample13",6,-1.0533526178245,32,0.97,-0.581331310299222
"14","gene_id_1","sample14",7,-0.781387159091975,32,0.97,-0.581331310299222
"15","gene_id_1","sample15",6,0.593961216199244,32,0.97,-0.581331310299222
"16","gene_id_1","sample16",23,0.484719083199096,32,0.97,-0.581331310299222
"17","gene_id_1","sample17",7,-0.30881177050568,32,0.97,-0.581331310299222
"18","gene_id_1","sample18",7,1.07101930004397,32,0.97,-0.581331310299222
"19","gene_id_1","sample19",8,-1.94100310094102,32,0.97,-0.581331310299222
"20","gene_id_1","sample20",5,0.833715943484291,32,0.97,-0.581331310299222
"21","gene_id_1","sample21",7,0.980670856103923,32,0.97,-0.581331310299222
"22","gene_id_1","sample22",6,0.574948369466852,32,0.97,-0.581331310299222
"23","gene_id_1","sample23",5,0.428445829769685,32,0.97,-0.581331310299222
"24","gene_id_1","sample24",7,0.922656751050403,32,0.97,-0.581331310299222
"25","gene_id_1","sample25",6,1.15371382706415,32,0.97,-0.581331310299222
"26","gene_id_1","sample26",30,-0.0163475211476416,32,0.97,-0.581331310299222
"27","gene_id_1","sample27",11,-0.721438412110863,32,0.97,-0.581331310299222
"28","gene_id_1","sample28",62,-0.565426600300303,32,0.97,-0.581331310299222
"29","gene_id_1","sample29",6,-0.755540705567433,32,0.97,-0.581331310299222
"30","gene_id_1","sample30",7,1.03644995499162,32,0.97,-0.581331310299222
"31","gene_id_1","sample31",10,0.455286300304896,32,0.97,-0.581331310299222
"32","gene_id_1","sample32",5,0.68461687473391,32,0.97,-0.581331310299222
"33","gene_id_2","sample1",9,0.308720921720104,33,1,-0.0640562206157504
"34","gene_id_2","sample2",7,0.00352353207332253,33,1,-0.0640562206157504
